City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jalu,LY,29.0331,21.5482,65.23,54,100,8.03,overcast clouds
1,Srandakan,ID,-7.9386,110.2506,74.62,92,100,5.95,light rain
2,Tasiilaq,GL,65.6145,-37.6368,23.68,62,100,6.11,overcast clouds
3,Santa Cruz,BO,-17.8,-63.1667,104.05,20,4,14.97,clear sky
4,Geraldton,AU,-28.7667,114.6,59.41,82,4,8.05,clear sky
5,Udachnyy,RU,66.4167,112.4,-22.56,74,100,4.32,overcast clouds
6,Pacific Grove,US,36.6177,-121.9166,67.39,56,1,11.99,clear sky
7,Cape Town,ZA,-33.9258,18.4232,64.27,66,20,21.85,few clouds
8,Port Alfred,ZA,-33.5906,26.891,62.19,90,61,3.6,broken clouds
9,Lorengau,PG,-2.0226,147.2712,81.16,72,28,6.04,scattered clouds
10,Jamestown,US,42.097,-79.2353,54.99,44,0,9.22,clear sky
11,Saskylakh,RU,71.9167,114.0833,-13.11,97,100,7.43,overcast clouds
12,Port Hedland,AU,-20.3167,118.5667,77.05,88,27,6.91,scattered clouds
13,Busselton,AU,-33.65,115.3333,50.58,88,0,9.66,clear sky
14,Moranbah,AU,-22.0016,148.0466,72.88,72,29,7.4,scattered clouds
15,Ushuaia,AR,-54.8,-68.3,51.42,62,0,19.57,clear sky
16,Cherskiy,RU,68.75,161.3,-27.85,100,91,5.93,overcast clouds
17,Rawson,AR,-43.3002,-65.1023,64.94,49,5,14.88,clear sky
18,Mahebourg,MU,-20.4081,57.7,76.24,73,40,11.5,scattered clouds
19,Kahului,US,20.8947,-156.47,75.97,82,100,7.0,overcast clouds
20,Sandakan,MY,5.8402,118.1179,78.48,94,20,2.3,few clouds
21,Khatanga,RU,71.9667,102.5,-7.47,95,100,17.11,overcast clouds
22,Barrow,US,71.2906,-156.7887,4.03,91,100,3.15,overcast clouds
23,Nishihara,JP,26.1842,127.7558,69.08,73,98,9.22,overcast clouds
24,New Norfolk,AU,-42.7826,147.0587,58.91,58,66,5.01,broken clouds
25,Ilulissat,GL,69.2167,-51.1,6.75,95,100,5.03,overcast clouds
26,Carnarvon,AU,-24.8667,113.6333,67.73,74,0,22.88,clear sky
27,Bluff,NZ,-46.6,168.3333,54.81,60,70,3.22,broken clouds
28,Saint-Philippe,RE,-21.3585,55.7679,72.99,75,28,9.57,scattered clouds
29,Avera,US,33.194,-82.5271,66.25,42,83,9.55,broken clouds
30,Broome,US,42.2506,-75.833,54.18,49,1,3.0,clear sky
31,Calabozo,VE,8.9242,-67.4293,86.31,57,100,5.7,overcast clouds
32,Butaritari,KI,3.0707,172.7902,80.56,74,63,6.24,broken clouds
33,Russell,US,32.3502,-85.1999,62.91,88,100,0.0,overcast clouds
34,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,77,40,8.05,scattered clouds
35,Tiksi,RU,71.6872,128.8694,-19.23,96,100,8.86,overcast clouds
36,Albert Lea,US,43.648,-93.3683,53.56,43,0,19.57,clear sky
37,Gallup,US,35.5281,-108.7426,48.02,26,0,1.99,clear sky
38,Rikitea,PF,-23.1203,-134.9692,75.02,72,100,5.68,overcast clouds
39,Tyukhtet,RU,56.5389,89.3011,-16.17,89,100,9.37,overcast clouds
